id,lp,v,gtt,gtn,ggn,ts,tp,t48,t1,t2,p48,p1,p2,pexh,tic,mf,decay_coeff_comp,decay_coeff_turbine
15,5.16,15,22051.43,1926.39,8373.25,178.47,178.47,730.12,288,645.1,2.08,1,11.18,1.03,26.69,0.53,0.95,0.98
16,6.15,18,30137.22,2303.26,8819.34,251.27,251.27,794.5,288,673.8,2.51,1,13.4,1.03,35.93,0.71,0.95,0.98
17,7.18,21,39924.04,2691.02,9093.75,338.87,338.87,868.02,288,705.85,3.01,1,15.87,1.03,47.94,0.95,0.95,0.98
18,8.22,24,54247.55,3108.69,9410.39,471.76,471.76,973.22,288,743.44,3.68,1,19.02,1.04,66.34,1.32,0.95,0.98
19,6.21,18,41504.59,2673.29,8598.69,363.97,363.97,846.54,288,694.57,3.06,1,15.81,1.04,51.07,1.05,0.95,0.98
20,4.18,12,26826.09,2101.11,7769.17,227.03,227.03,741.23,288,641.11,2.31,1,12.03,1.03,34.69,0.74,0.95,0.98
21,2.12,6,5364.73,1376.57,6881.73,32.16,32.16,571.05,288,573.89,1.28,1,6.96,1.02,8.74,0.21,0.95,0.98
22,3.13,9,10021.93,1435.09,7248,67.14,67.14,633.05,288,594.02,1.46,1,7.94,1.02,14.74,0.3,0.95,0.98
23,4.15,12,14913.67,1619.51,7803.42,116.48,116.48,664.5,288,615.36,1.71,1,9.24,1.02,19.1,0.38,0.95,0.98
24,5.16,15,22051.62,1926.39,8374.57,178.43,178.43,729.11,288,644.91,2.08,1,11.16,1.03,26.63,0.53,0.95,0.98
25,6.15,18,30137.23,2303.26,8820.16,251.2,251.2,793.44,288,673.61,2.51,1,13.38,1.03,35.86,0.71,0.95,0.98
26,7.18,21,39924.11,2691.02,9094.39,338.82,338.82,866.95,288,705.66,3.01,1,15.85,1.04,47.86,0.95,0.95,0.98
27,8.22,24,54247.85,3108.7,9410.95,471.77,471.77,972.22,288,743.28,3.68,1,19,1.04,66.28,1.32,0.95,0.98
28,6.21,18,41701.28,2679.87,8604.51,364.41,364.41,851.56,288,695.62,3.07,1,15.84,1.04,51.04,1.06,0.95,0.98
29,4.18,12,27000.54,2106.28,7774.84,227.19,227.19,746.1,288,642.06,2.32,1,12.06,1.03,35.39,0.74,0.95,0.98
30,2.12,6,5538.86,1381.74,6888,32.28,32.28,575.94,288,574.84,1.29,1,6.99,1.02,9.43,0.22,0.95,0.98
31,3.13,9,9999.87,1433.69,7249.52,66.88,66.88,631.98,288,593.75,1.46,1,7.92,1.02,15.43,0.3,0.95,0.98
32,4.15,12,14913.75,1619.51,7805.26,116.48,116.48,663.59,288,615.2,1.71,1,9.23,1.02,19.06,0.38,0.95,0.98
33,5.16,15,22051.79,1926.38,8375.89,178.46,178.46,728.1,288,644.72,2.08,1,11.15,1.03,26.57,0.53,0.95,0.98
34,6.15,18,30137.24,2303.26,8820.98,251.26,251.26,792.39,288,673.41,2.51,1,13.37,1.03,35.79,0.71,0.95,0.98
35,7.18,21,39924.17,2691.02,9095.03,338.85,338.85,865.88,288,705.47,3.01,1,15.84,1.04,47.77,0.95,0.95,0.98
36,8.22,24,54248.1,3108.7,9411.5,471.76,471.76,971.23,288,743.12,3.68,1,18.97,1.04,66.22,1.32,0.95,0.98
37,6.21,18,41866.45,2683.91,8608.57,364.61,364.61,855.74,288,696.41,3.08,1,15.86,1.04,51,1.06,0.95,0.98
38,4.18,12,27149.24,2109.46,7779.11,227.27,227.27,750.13,288,642.78,2.33,1,12.08,1.03,35.82,0.75,0.95,0.98
39,2.12,6,5687.3,1384.91,6892.87,32.37,32.37,580,288,575.56,1.29,1,7.02,1.02,9.84,0.22,0.95,0.98
40,3.13,9,9983.52,1432.83,7251.38,66.72,66.72,630.9,288,593.52,1.46,1,7.91,1.02,15.82,0.3,0.95,0.98
41,4.15,12,14913.93,1619.52,7807.1,116.48,116.48,662.69,288,615.03,1.71,1,9.22,1.02,19.01,0.38,0.95,0.98
42,5.16,15,22052.04,1926.38,8377.21,178.44,178.44,727.1,288,644.53,2.08,1,11.14,1.03,26.52,0.52,0.95,0.98
43,6.15,18,30137.34,2303.25,8821.79,251.23,251.23,791.33,288,673.22,2.51,1,13.35,1.03,35.72,0.71,0.95,0.98
44,7.18,21,39924.19,2691.02,9095.66,338.8,338.8,864.81,288,705.29,3.01,1,15.82,1.04,47.69,0.94,0.95,0.98
45,8.22,24,54248.42,3108.71,9412.05,471.68,471.68,970.24,288,742.96,3.68,1,18.95,1.04,66.16,1.32,0.95,0.98
46,6.21,18,41990.92,2686.04,8611.32,364.67,364.67,858.7,288,696.95,3.08,1,15.87,1.04,50.97,1.06,0.95,0.98
47,4.18,12,27271.14,2111.76,7782.7,227.38,227.38,753.02,288,643.32,2.33,1,12.1,1.03,35.69,0.75,0.95,0.98
48,2.12,6,5808.84,1387.22,6897.06,32.54,32.54,582.91,288,576.09,1.3,1,7.04,1.02,9.71,0.23,0.95,0.98
49,3.13,9,9981.06,1433.01,7253.88,66.76,66.76,629.91,288,593.36,1.46,1,7.9,1.02,15.68,0.3,0.95,0.98
50,4.15,12,14913.91,1619.52,7808.93,116.5,116.5,661.78,288,614.86,1.71,1,9.21,1.02,18.97,0.38,0.95,0.98
51,5.16,15,22052.1,1926.38,8378.53,178.45,178.45,726.09,288,644.34,2.08,1,11.13,1.03,26.46,0.52,0.95,0.98
52,6.15,18,30137.24,2303.25,8822.61,251.25,251.25,790.28,288,673.02,2.51,1,13.34,1.03,35.65,0.71,0.95,0.98
53,7.18,21,39924.21,2691.02,9096.29,338.81,338.81,863.75,288,705.1,3.01,1,15.8,1.04,47.61,0.94,0.95,0.98
54,8.22,24,54248.45,3108.71,9412.59,471.68,471.68,969.25,288,742.81,3.67,1,18.93,1.04,66.1,1.32,0.95,0.98
55,6.21,18,42239,2688.41,8614.32,364.81,364.81,865.51,288,698.09,3.09,1,15.91,1.04,50.94,1.07,0.95,0.98
56,4.18,12,27507.67,2113.78,7786.2,227.45,227.45,759.66,288,644.42,2.34,1,12.13,1.03,35.86,0.76,0.95,0.98
57,2.12,6,6045.28,1389.23,6901.17,32.62,32.62,589.57,288,577.19,1.31,1,7.09,1.02,9.86,0.23,0.95,0.98
58,3.13,9,9969.62,1432.66,7256.04,66.69,66.69,628.83,288,593.16,1.46,1,7.89,1.02,15.81,0.3,0.95,0.98
59,4.15,12,14914.14,1619.52,7810.78,116.5,116.5,660.88,288,614.7,1.71,1,9.2,1.02,18.92,0.37,0.95,0.98
60,5.16,15,22052.39,1926.37,8379.86,178.48,178.48,725.09,288,644.15,2.08,1,11.12,1.03,26.4,0.52,0.95,0.98
61,6.15,18,30137.38,2303.25,8823.43,251.24,251.24,789.24,288,672.83,2.51,1,13.33,1.03,35.58,0.7,0.95,0.98
62,7.18,21,39924.2,2691.02,9096.93,338.81,338.81,862.68,288,704.91,3.01,1,15.78,1.04,47.52,0.94,0.95,0.98
63,8.22,24,54248.58,3108.71,9413.14,471.64,471.64,968.26,288,742.65,3.67,1,18.91,1.04,66.04,1.31,0.95,0.98
64,6.21,18,42513.54,2688.98,8616.11,364.85,364.85,872.94,288,699.24,3.1,1,15.95,1.04,50.91,1.08,0.95,0.98
65,4.18,12,27716.41,2112.74,7787.74,227.18,227.18,765.85,288,645.3,2.35,1,12.16,1.03,36.58,0.76,0.95,0.98
66,2.12,6,6253.82,1388.19,6903.31,32.37,32.37,595.78,288,578.06,1.31,1,7.12,1.02,10.57,0.24,0.95,0.98
67,3.13,9,9903.9,1431.05,7257.44,66.4,66.4,626.66,288,592.74,1.45,1,7.87,1.02,16.51,0.3,0.95,0.98
68,4.15,12,14914.24,1619.52,7812.62,116.48,116.48,659.98,288,614.53,1.71,1,9.19,1.02,18.88,0.37,0.95,0.98
69,5.16,15,22052.55,1926.37,8381.18,178.44,178.44,724.1,288,643.96,2.08,1,11.11,1.03,26.34,0.52,0.95,0.98
70,6.15,18,30137.38,2303.24,8824.24,251.23,251.23,788.19,288,672.64,2.51,1,13.31,1.03,35.51,0.7,0.95,0.98
71,7.18,21,39924.15,2691.01,9097.56,338.81,338.81,861.63,288,704.73,3.01,1,15.77,1.04,47.44,0.94,0.95,0.98
72,8.22,24,54248.6,3108.72,9413.68,471.72,471.72,967.27,288,742.49,3.67,1,18.89,1.04,65.98,1.31,0.95,0.98
73,6.21,18,42606.66,2688.65,8617.19,364.88,364.88,874.94,288,699.46,3.1,1,15.94,1.04,50.88,1.08,0.95,0.98
74,4.18,12,27795.01,2112.18,7789.41,227.17,227.17,767.57,288,645.46,2.35,1,12.16,1.03,36.65,0.77,0.95,0.98
75,2.12,6,6332.3,1387.63,6905.59,32.31,32.31,597.53,288,578.23,1.32,1,7.13,1.02,10.63,0.24,0.95,0.98
76,3.13,9,9889.41,1430.82,7259.69,66.36,66.36,625.48,288,592.52,1.45,1,7.86,1.02,16.55,0.3,0.95,0.98
77,4.15,12,14914.38,1619.52,7814.46,116.5,116.5,659.08,288,614.37,1.71,1,9.18,1.02,18.83,0.37,0.95,0.98
78,5.16,15,22052.77,1926.37,8382.51,178.46,178.46,723.1,288,643.77,2.08,1,11.1,1.03,26.29,0.52,0.95,0.98
79,6.15,18,30137.48,2303.24,8825.06,251.21,251.21,787.15,288,672.44,2.51,1,13.3,1.03,35.44,0.7,0.95,0.98
80,7.18,21,39924.13,2691.01,9098.19,338.77,338.77,860.57,288,704.54,3.01,1,15.75,1.04,47.36,0.94,0.95,0.98
81,8.22,24,54248.53,3108.72,9414.22,471.69,471.69,966.29,288,742.33,3.67,1,18.86,1.04,65.92,1.31,0.95,0.98
82,6.21,18,43072.08,2685.3,8616.5,364.69,364.69,887.62,288,701.18,3.12,1,16.01,1.04,50.84,1.1,0.95,0.98
83,4.18,12,28236.66,2108.33,7789.14,226.9,226.9,779.8,288,647.09,2.36,1,12.23,1.03,36.8,0.78,0.95,0.98
84,2.12,6,6773.9,1383.78,6905.94,32.01,32.01,609.79,288,579.85,1.33,1,7.2,1.02,10.77,0.26,0.95,0.98
85,3.13,9,9865.67,1430.32,7261.77,66.26,66.26,624.12,288,592.27,1.45,1,7.85,1.02,16.68,0.29,0.95,0.98
86,4.15,12,14914.48,1619.52,7816.31,116.49,116.49,658.19,288,614.2,1.71,1,9.18,1.02,18.79,0.37,0.95,0.98
87,5.16,15,22052.93,1926.37,8383.83,178.48,178.48,722.11,288,643.58,2.08,1,11.08,1.03,26.23,0.52,0.95,0.98
88,6.15,18,30137.47,2303.24,8825.88,251.27,251.27,786.12,288,672.25,2.51,1,13.28,1.03,35.37,0.7,0.95,0.98
89,7.18,21,39924.03,2691.01,9098.82,338.86,338.86,859.52,288,704.36,3.01,1,15.73,1.04,47.27,0.94,0.95,0.98
90,8.22,24,54248.99,3108.71,9414.76,471.71,471.71,965.31,288,742.18,3.67,1,18.84,1.04,65.86,1.31,0.95,0.98
91,6.21,18,43357.31,2681.68,8615.58,364.45,364.45,894.89,288,702.06,3.12,1,16.04,1.04,50.81,1.1,0.95,0.98
92,4.18,12,28498.18,2104.4,7788.76,226.59,226.59,786.62,288,647.89,2.37,1,12.26,1.03,37.04,0.79,0.95,0.98
93,2.12,6,7034.81,1379.85,6906.17,31.75,31.75,616.62,288,580.65,1.34,1,7.24,1.02,11,0.27,0.95,0.98
94,3.13,9,9842,1430.01,7263.98,66.21,66.21,622.74,288,592.04,1.45,1,7.84,1.02,16.9,0.29,0.95,0.98
95,4.15,12,14914.63,1619.52,7818.16,116.5,116.5,657.3,288,614.04,1.71,1,9.17,1.02,18.75,0.37,0.95,0.98
96,5.16,15,22053.17,1926.36,8385.16,178.46,178.46,721.12,288,643.4,2.08,1,11.07,1.03,26.17,0.52,0.95,0.98
97,6.15,18,30137.46,2303.24,8826.7,251.21,251.21,785.08,288,672.06,2.51,1,13.27,1.03,35.3,0.7,0.95,0.98
98,7.18,21,39923.93,2691,9099.46,338.76,338.76,858.46,288,704.17,3.01,1,15.71,1.04,47.19,0.93,0.95,0.98
99,8.22,24,54249.12,3108.71,9415.3,471.62,471.62,964.34,288,742.02,3.67,1,18.82,1.04,65.8,1.31,0.95,0.98
100,6.21,18,43698.27,2674.35,8612.37,363.97,363.97,904.96,288,702.92,3.13,1,16.07,1.04,52.44,1.12,0.95,0.99
101,4.18,12,28802.48,2096.59,7786,226.04,226.04,795.87,288,648.61,2.37,1,12.29,1.03,38.84,0.8,0.95,0.99
102,2.12,6,7338.79,1372.03,6904.01,31.22,31.22,625.9,288,581.36,1.34,1,7.27,1.02,12.79,0.28,0.95,0.99
103,3.13,9,9805.37,1429.53,7266.08,66.12,66.12,621.03,288,591.74,1.45,1,7.82,1.02,17.01,0.29,0.95,0.99
104,4.15,12,14914.76,1619.52,7820,116.48,116.48,656.4,288,613.88,1.71,1,9.16,1.02,18.7,0.37,0.95,0.99
105,5.16,15,22053.36,1926.36,8386.49,178.47,178.47,720.14,288,643.21,2.08,1,11.06,1.03,26.12,0.52,0.95,0.99
106,6.15,18,30137.49,2303.23,8827.52,251.26,251.26,784.04,288,671.87,2.51,1,13.26,1.03,35.23,0.7,0.95,0.99
107,7.18,21,39923.86,2691,9100.09,338.82,338.82,857.41,288,703.99,3.01,1,15.7,1.04,47.11,0.93,0.95,0.99
108,8.22,24,54249.07,3108.71,9415.84,471.65,471.65,963.36,288,741.86,3.67,1,18.8,1.04,65.74,1.3,0.95,0.99
109,6.21,18,43742.06,2670.5,8611.19,363.75,363.75,906.26,288,702.83,3.13,1,16.05,1.04,54.54,1.12,0.95,0.99
110,4.18,12,28772.74,2091.88,7785.01,225.66,225.66,795.51,288,648.24,2.37,1,12.26,1.03,41.28,0.8,0.95,0.99
111,2.12,6,7308.96,1367.32,6903.64,30.85,30.85,625.56,288,580.99,1.34,1,7.25,1.02,15.22,0.28,0.95,0.99
112,3.13,9,9731.85,1428.67,7267.94,65.97,65.97,618.47,288,591.3,1.45,1,7.8,1.02,17.29,0.29,0.95,0.99
113,4.15,12,14914.83,1619.52,7821.85,116.51,116.51,655.52,288,613.71,1.71,1,9.15,1.02,18.66,0.37,0.95,0.99
114,5.16,15,22053.48,1926.36,8387.81,178.47,178.47,719.15,288,643.02,2.08,1,11.05,1.03,26.06,0.52,0.95,0.99
115,6.15,18,30137.45,2303.23,8828.34,251.25,251.25,783.01,288,671.68,2.51,1,13.24,1.03,35.16,0.7,0.95,0.99
116,7.18,21,39923.77,2690.99,9100.72,338.82,338.82,856.36,288,703.81,3.01,1,15.68,1.04,47.03,0.93,0.95,0.99
117,8.22,24,54249.27,3108.71,9416.38,471.75,471.75,962.38,288,741.71,3.67,1,18.78,1.04,65.68,1.3,0.95,0.99
118,6.21,18,43527,2660.63,8606.03,363.28,363.28,902.17,288,701.75,3.12,1,15.99,1.04,59.24,1.12,0.95,0.99
119,4.18,12,28584.44,2082.4,7780.84,225.25,225.25,792.11,288,647.29,2.36,1,12.21,1.03,45.92,0.8,0.95,0.99
120,2.12,6,7120.31,1357.85,6900.09,30.35,30.35,622.19,288,580.03,1.33,1,7.21,1.02,19.85,0.28,0.95,0.99
121,3.13,9,9758.64,1429.06,7270.58,66.04,66.04,618.25,288,591.27,1.45,1,7.8,1.02,17.17,0.29,0.95,0.99
122,4.15,12,14914.94,1619.52,7823.69,116.49,116.49,654.63,288,613.55,1.71,1,9.14,1.02,18.61,0.37,0.95,0.99
123,5.16,15,22053.67,1926.36,8389.14,178.47,178.47,718.17,288,642.83,2.08,1,11.04,1.03,26,0.52,0.95,0.99
124,6.15,18,30137.51,2303.23,8829.16,251.25,251.25,781.98,288,671.49,2.51,1,13.23,1.03,35.1,0.7,0.95,0.99
125,7.18,21,39923.73,2690.99,9101.35,338.86,338.86,855.32,288,703.63,3.01,1,15.66,1.04,46.94,0.93,0.95,0.99
126,8.22,24,54249.35,3108.71,9416.91,471.77,471.77,961.41,288,741.56,3.67,1,18.76,1.04,65.63,1.3,0.95,0.99
127,6.21,18,42888.07,2653.6,8602.32,362.92,362.92,886.09,288,699.18,3.1,1,15.86,1.04,61.74,1.1,0.95,0.99
128,4.18,12,27843.66,2074.34,7777.22,224.67,224.67,773.65,288,644.31,2.34,1,12.07,1.03,48.75,0.78,0.95,0.99
129,2.12,6,6379.36,1349.79,6897.08,29.78,29.78,603.75,288,577.04,1.31,1,7.07,1.02,22.67,0.26,0.95,0.99
130,3.13,9,9656.82,1428.03,7272.33,65.85,65.85,614.97,288,590.71,1.44,1,7.78,1.02,17.45,0.28,0.95,0.99
131,4.15,12,14915.03,1619.53,7825.54,116.51,116.51,653.74,288,613.39,1.71,1,9.13,1.02,18.57,0.37,0.95,0.99
132,5.16,15,22053.82,1926.36,8390.47,178.49,178.49,717.19,288,642.65,2.07,1,11.03,1.03,25.95,0.51,0.95,0.99
133,6.15,18,30137.5,2303.22,8829.97,251.24,251.24,780.95,288,671.3,2.51,1,13.21,1.03,35.03,0.69,0.95,0.99
134,7.18,21,39923.66,2690.99,9101.99,338.84,338.84,854.28,288,703.44,3.01,1,15.65,1.04,46.86,0.93,0.95,0.99
135,8.22,24,54249.26,3108.71,9417.44,471.75,471.75,960.44,288,741.4,3.67,1,18.73,1.04,65.57,1.3,0.95,0.99
136,6.21,18,42495.78,2652.07,8602.16,362.84,362.84,874.62,288,697.4,3.09,1,15.77,1.04,61.78,1.08,0.95,0.99
137,4.18,12,27366.44,2072.14,7777.38,224.47,224.47,760.19,288,642.21,2.33,1,11.97,1.03,49.08,0.76,0.95,0.99
138,2.12,6,5902.1,1347.59,6897.87,29.58,29.58,590.3,288,574.94,1.29,1,6.98,1.02,22.98,0.25,0.95,0.99
139,3.13,9,9571.91,1427.36,7274.32,65.74,65.74,612.07,288,590.24,1.44,1,7.75,1.02,17.68,0.28,0.95,0.99
140,4.15,12,14915.18,1619.53,7827.39,116.5,116.5,652.86,288,613.22,1.7,1,9.12,1.02,18.53,0.37,0.95,0.99
141,5.16,15,22054.02,1926.36,8391.79,178.49,178.49,716.22,288,642.46,2.07,1,11.02,1.03,25.89,0.51,0.95,0.99
142,6.15,18,30137.57,2303.22,8830.79,251.26,251.26,779.93,288,671.11,2.51,1,13.2,1.03,34.96,0.69,0.95,0.99
143,7.18,21,39923.61,2690.98,9102.62,338.83,338.83,853.24,288,703.26,3,1,15.63,1.04,46.78,0.93,0.95,0.99
144,8.22,24,54249.49,3108.71,9417.97,471.69,471.69,959.47,288,741.25,3.67,1,18.71,1.04,65.51,1.3,0.95,0.99
145,6.21,18,42137.27,2651.91,8602.89,362.76,362.76,863.39,288,695.67,3.07,1,15.69,1.04,61.5,1.07,0.95,0.99
146,4.18,12,27008.98,2072,7778.84,224.42,224.42,749.02,288,640.48,2.31,1,11.89,1.03,48.76,0.75,0.95,0.99
147,2.12,6,5544.29,1347.44,6899.95,29.57,29.57,579.16,288,573.21,1.28,1,6.91,1.02,22.66,0.23,0.95,0.99
148,3.13,9,9573.03,1427.38,7276.72,65.74,65.74,611.24,288,590.08,1.44,1,7.75,1.02,17.59,0.28,0.95,0.99
149,4.15,12,14915.35,1619.53,7829.25,116.5,116.5,651.98,288,613.06,1.7,1,9.11,1.02,18.48,0.37,0.95,0.99
150,5.16,15,22054.23,1926.35,8393.13,178.47,178.47,715.25,288,642.28,2.07,1,11,1.03,25.84,0.51,0.95,0.99
151,6.15,18,30137.63,2303.22,8831.61,251.24,251.24,778.91,288,670.93,2.51,1,13.19,1.03,34.89,0.69,0.95,0.99
152,7.18,21,39923.55,2690.98,9103.25,338.83,338.83,852.2,288,703.08,3,1,15.61,1.04,46.7,0.92,0.95,0.99
153,8.22,24,54249.67,3108.71,9418.51,471.75,471.75,958.51,288,741.1,3.66,1,18.69,1.04,65.45,1.3,0.95,0.99
154,6.21,18,41839.96,2652.83,8604.29,362.85,362.85,853.01,288,694.15,3.06,1,15.61,1.04,60.36,1.06,0.95,0.99
155,4.18,12,26594.1,2072.35,7780.63,224.4,224.4,735.68,288,638.5,2.3,1,11.8,1.03,47.78,0.74,0.95,0.99
156,2.12,6,5129.14,1347.79,6902.36,29.51,29.51,565.83,288,571.22,1.27,1,6.82,1.02,21.66,0.22,0.95,0.99
157,3.13,9,9455.43,1426.8,7278.77,65.63,65.63,607.39,288,589.47,1.44,1,7.72,1.02,17.68,0.28,0.95,0.99
158,4.15,12,14915.38,1619.53,7831.1,116.5,116.5,651.1,288,612.9,1.7,1,9.1,1.02,18.44,0.36,0.95,0.99
159,5.16,15,22054.32,1926.35,8394.45,178.48,178.48,714.27,288,642.09,2.07,1,10.99,1.03,25.78,0.51,0.95,0.99
160,6.15,18,30137.61,2303.22,8832.43,251.25,251.25,777.89,288,670.74,2.51,1,13.17,1.03,34.82,0.69,0.95,0.99
161,7.18,21,39923.48,2690.98,9103.88,338.8,338.8,851.17,288,702.9,3,1,15.59,1.04,46.62,0.92,0.95,0.99
162,8.22,24,54249.51,3108.71,9419.03,471.68,471.68,957.55,288,740.95,3.66,1,18.67,1.04,65.36,1.29,0.95,0.99
163,6.21,18,41434.6,2657.47,8607.87,363.03,363.03,836.45,288,691.84,3.05,1,15.51,1.04,56.99,1.04,0.95,0.99
164,4.18,12,26203.16,2077.04,7784.99,224.62,224.62,719.55,288,636.24,2.28,1,11.7,1.03,44.35,0.71,0.95,0.99
165,2.12,6,4738.23,1352.48,6907.34,29.76,29.76,549.73,288,568.95,1.25,1,6.74,1.02,18.25,0.2,0.95,0.99
166,3.13,9,9469.89,1426.85,7281.21,65.64,65.64,606.92,288,589.36,1.44,1,7.71,1.02,17.57,0.28,0.95,0.99
167,4.15,12,14915.55,1619.53,7832.95,116.5,116.5,650.23,288,612.74,1.7,1,9.09,1.02,18.4,0.36,0.95,0.99
168,5.16,15,22054.48,1926.35,8395.78,178.48,178.48,713.31,288,641.91,2.07,1,10.98,1.03,25.72,0.51,0.95,0.99
169,6.15,18,30137.66,2303.22,8833.25,251.23,251.23,776.87,288,670.55,2.51,1,13.16,1.03,34.75,0.69,0.95,0.99
170,7.18,21,39923.4,2690.97,9104.51,338.78,338.78,850.14,288,702.72,3,1,15.58,1.04,46.53,0.92,0.95,0.99
171,8.22,24,54249.73,3108.71,9419.56,471.66,471.66,956.59,288,740.8,3.66,1,18.65,1.04,65.27,1.29,0.95,0.99
172,6.21,18,41359.8,2660.15,8610.67,363.18,363.18,831.47,288,691.15,3.04,1,15.47,1.04,55.4,1.03,0.95,0.99
173,4.18,12,26087.26,2079.55,7788.39,224.73,224.73,713.58,288,635.41,2.28,1,11.67,1.03,42.91,0.71,0.95,0.99
174,2.12,6,4622.02,1354.99,6911.37,29.88,29.88,543.78,288,568.12,1.25,1,6.7,1.02,16.84,0.19,0.95,0.99
175,3.13,9,9428.8,1426.68,7283.47,65.61,65.61,605.04,288,589.07,1.44,1,7.7,1.02,17.66,0.27,0.95,0.99
176,4.15,12,14915.65,1619.53,7834.8,116.5,116.5,649.35,288,612.58,1.7,1,9.08,1.02,18.35,0.36,0.95,0.99
177,5.16,15,22054.65,1926.35,8397.11,178.47,178.47,712.34,288,641.72,2.07,1,10.97,1.03,25.67,0.51,0.95,0.99
178,6.15,18,30137.69,2303.22,8834.07,251.23,251.23,775.86,288,670.36,2.51,1,13.14,1.03,34.68,0.69,0.95,0.99
179,7.18,21,39923.32,2690.97,9105.14,338.82,338.82,849.11,288,702.55,3,1,15.56,1.04,46.45,0.92,0.95,0.99
180,8.22,24,54249.69,3108.71,9420.08,471.77,471.77,955.63,288,740.65,3.66,1,18.63,1.04,65.18,1.29,0.95,0.99
181,6.21,18,41362.79,2665.84,8615.53,363.59,363.59,827.71,288,690.99,3.04,1,15.46,1.04,51.92,1.02,0.95,0.99
182,4.18,12,26106.59,2085.29,7794.03,225.12,225.12,710.32,288,635.32,2.28,1,11.66,1.03,39.43,0.7,0.95,0.99
183,2.12,6,4641.27,1360.73,6917.64,30.2,30.2,540.54,288,568.02,1.25,1,6.7,1.02,13.38,0.18,0.95,1
184,3.13,9,9445.16,1426.74,7285.92,65.62,65.62,604.66,288,588.98,1.44,1,7.69,1.02,17.62,0.27,0.95,1
185,4.15,12,14915.78,1619.53,7836.66,116.51,116.51,648.48,288,612.41,1.7,1,9.08,1.02,18.31,0.36,0.95,1
186,5.16,15,22054.79,1926.35,8398.44,178.51,178.51,711.38,288,641.54,2.07,1,10.96,1.03,25.61,0.51,0.95,1
187,6.15,18,30137.7,2303.22,8834.88,251.27,251.27,774.85,288,670.18,2.51,1,13.13,1.03,34.62,0.69,0.95,1
188,7.18,21,39922.96,2690.96,9105.78,338.85,338.85,848.08,288,702.37,3,1,15.54,1.04,46.37,0.92,0.95,1
189,8.22,24,54249.83,3108.71,9420.62,471.68,471.68,954.67,288,740.5,3.66,1,18.61,1.04,65.09,1.29,0.95,1
190,6.21,18,41423.99,2669.14,8618.98,363.68,363.68,828.14,288,691.23,3.04,1,15.45,1.04,50.33,1.02,0.95,1
191,4.18,12,26034.21,2088.19,7797.95,225.14,225.14,707.26,288,635,2.28,1,11.63,1.03,37.88,0.7,0.95,1
192,2.12,6,4568.35,1363.62,6922.18,30.31,30.31,537.5,288,567.7,1.25,1,6.68,1.02,11.85,0.18,0.95,1
193,3.13,9,9311.32,1426.33,7288.07,65.55,65.55,600.28,288,588.27,1.43,1,7.66,1.02,17.59,0.27,0.95,1
194,4.15,12,14915.91,1619.53,7838.51,116.5,116.5,647.61,288,612.25,1.7,1,9.07,1.02,18.27,0.36,0.95,1
195,5.16,15,22054.94,1926.35,8399.78,178.49,178.49,710.42,288,641.36,2.07,1,10.95,1.03,25.56,0.51,0.95,1
196,6.15,18,30137.72,2303.21,8835.7,251.25,251.25,773.84,288,669.99,2.51,1,13.12,1.03,34.55,0.68,0.95,1
